City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,wuhu,31.3366,118.3755,22.27,92,99,3.97,CN,1726432933
168,pathein,16.7833,94.7333,24.65,94,100,1.92,MM,1726432934
169,codrington,-38.2667,141.9667,9.95,73,100,6.63,AU,1726432935
170,howrah,22.5892,88.3103,27.0,94,100,5.14,IN,1726432937
171,punta arenas,-53.15,-70.9167,6.06,70,40,7.2,CL,1726432938
172,san pedro,14.35,121.0167,26.22,98,100,0.51,PH,1726432760
173,kolonia town,6.964,158.206,26.0,94,100,1.54,FM,1726432955
174,colonia,50.9333,6.95,17.19,83,100,1.9,DE,1726432721
175,orhaneli,39.9033,28.9906,15.95,83,0,0.23,TR,1726432957
176,kingston,17.997,-76.7936,33.53,66,20,9.26,JM,1726432958
177,tazovsky,67.4667,78.7,4.76,61,72,5.21,RU,1726432959
178,kenai,60.5544,-151.2583,13.41,75,0,12.86,US,1726432960
179,sodankyla,67.4167,26.6,9.12,71,100,1.84,FI,1726432961
180,bloemfontein,-29.1211,26.214,18.71,26,67,5.14,ZA,1726432962
181,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,93,75,1.0,RU,1726432963
182,avarua,-21.2078,-159.775,25.03,69,40,7.72,CK,1726432965
183,iranshahr,27.2025,60.6848,32.19,33,0,2.06,IR,1726432966
184,novo aripuana,-5.1206,-60.3797,34.35,35,83,3.21,BR,1726432967
185,les cayes,18.2,-73.75,30.41,69,52,4.92,HT,1726432968
186,monywa,22.1167,95.1333,25.67,89,100,1.96,MM,1726432969
187,mulayjah,27.271,48.4242,29.61,24,0,2.73,SA,1726432987
188,nabire,-3.3667,135.4833,24.41,93,99,1.42,ID,1726432988
189,grand gaube,-20.0064,57.6608,21.32,59,91,0.45,MU,1726432989
190,kasongo-lunda,-6.4667,16.8167,29.92,38,68,1.56,CD,1726432990
191,mount pearl,47.5166,-52.7813,12.4,78,75,6.17,CA,1726432992
192,liwale,-9.7667,37.9333,20.13,64,0,1.66,TZ,1726432993
193,alofi,-19.0595,-169.9187,26.94,78,75,3.6,NU,1726432994
194,udachny,66.4167,112.4,0.41,91,100,2.17,RU,1726432995
195,inhambane,-23.865,35.3833,23.29,93,5,5.64,MZ,1726432996
196,boa vista,2.8197,-60.6733,33.99,46,20,3.09,BR,1726432782
197,shahgarh,24.3167,79.1333,22.66,91,100,2.6,IN,1726432998
198,mogoytuy,51.2833,114.9167,7.0,81,71,6.47,RU,1726432999
199,mugia,43.1041,-9.2179,17.17,69,53,9.17,ES,1726433000
200,piacabucu,-10.4056,-36.4344,23.64,76,3,3.23,BR,1726433001
201,kabwe,-14.4469,28.4464,22.25,23,1,2.97,ZM,1726433018
202,magdagachi,53.45,125.8,7.91,88,100,3.0,RU,1726433019
203,tome,-36.6167,-72.95,16.34,59,1,3.05,CL,1726433020
204,ibiza,38.9088,1.433,21.07,71,0,1.54,ES,1726433021
205,okha,53.5739,142.9478,7.65,77,4,3.53,RU,1726432769
206,nuuk,64.1835,-51.7216,3.34,100,100,1.54,GL,1726433023
207,golaghat,26.5167,93.9667,25.15,90,100,2.06,IN,1726433026
208,amurzet,47.6967,131.0981,10.08,79,100,2.55,RU,1726433027
209,college,64.8569,-147.8028,10.04,85,100,2.57,US,1726433028
210,huarmey,-10.0681,-78.1522,19.76,72,3,5.21,PE,1726433029
211,pontes e lacerda,-15.2261,-59.3353,35.51,28,6,1.07,BR,1726433030
212,badger,64.8,-147.5333,10.14,89,75,2.57,US,1726433031
213,cabo san lucas,22.8909,-109.9124,30.42,72,0,9.26,MX,1726432748
214,agat village,13.3886,144.6585,26.52,94,75,5.14,GU,1726433034
215,komsomolets,53.7453,62.0708,12.06,93,17,3.53,KZ,1726433050
216,toliara,-23.35,43.6667,21.99,84,0,1.57,MG,1726433051
217,margaret river,-33.95,115.0667,11.08,72,0,5.33,AU,1726433052
218,lebu,-37.6167,-73.65,11.12,79,1,6.5,CL,1726433053
219,antsiranana,-12.2787,49.2917,22.33,72,9,8.85,MG,1726433054
220,inirida,3.8653,-67.9239,34.43,52,19,0.99,CO,1726433055
221,kolonia,50.9333,6.95,17.19,83,100,1.9,DE,1726433056
222,vyazemskiy,47.5378,134.7525,9.2,85,77,2.26,RU,1726433057
223,garachico,28.7781,-17.7646,21.06,73,100,4.12,ES,1726433058
224,lamu,-2.2717,40.902,24.66,79,37,6.89,KE,1726433059
225,nemuro,43.3236,145.575,14.56,80,0,5.13,JP,1726433060
226,puerto madero,14.7208,-92.4215,33.11,66,40,5.14,MX,1726433062
227,santa vitoria,-18.8386,-50.1214,32.55,21,2,1.33,BR,1726433063
228,nanlong,31.3533,106.0631,26.16,63,13,1.89,CN,1726433064
229,tazacorte,28.629,-17.9293,22.54,73,100,4.12,ES,1726433065
230,desterro,-7.2906,-37.0939,26.99,40,18,7.98,BR,1726433066
231,arti,56.4234,58.5328,11.72,91,1,1.8,RU,1726433082
232,saint-francois,46.4154,3.9054,10.36,77,0,0.0,FR,1726433083
233,kalamata,37.0389,22.1142,21.17,55,20,1.34,GR,1726433084
234,vilyuchinsk,52.9306,158.4028,6.15,77,92,2.57,RU,1726433085
235,mana,5.6592,-53.7767,27.34,79,11,5.55,GF,1726433086
236,qaqortoq,60.7167,-46.0333,4.82,94,100,0.51,GL,1726433087
237,revda,56.801,59.9303,10.97,98,8,1.19,RU,1726433088
238,jogeva,58.7467,26.3939,13.17,99,99,2.67,EE,1726433090
239,maragogi,-9.0122,-35.2225,23.82,79,6,4.01,BR,1726433091
240,toamasina,-18.1667,49.3833,20.0,94,75,1.03,MG,1726433093
241,mogadishu,2.0371,45.3438,24.97,85,52,8.35,SO,1726433094
242,klyuchi,52.2667,79.1667,4.84,69,44,6.3,RU,1726433095
243,qulsary,46.9531,54.0198,20.01,36,34,5.63,KZ,1726433096
244,numan,9.4667,12.0333,24.51,79,47,1.03,NG,1726434018
245,bilibino,68.0546,166.4372,2.74,99,100,2.72,RU,1726434021
246,hammerfest,70.6634,23.6821,12.25,47,0,1.54,NO,1726434022
247,mejit,10.2753,170.8646,27.99,77,100,4.75,MH,1726434023
248,urucui,-7.2294,-44.5561,32.69,25,18,2.33,BR,1726434024
249,namtsy,62.7161,129.6658,-2.49,92,2,1.98,RU,1726434025
250,kerikeri,-35.2268,173.9474,12.73,89,100,3.05,NZ,1726434026
251,usogorsk,63.4106,48.6872,15.09,94,57,1.67,RU,1726434027
252,qingyang,37.4958,121.2581,18.78,77,0,0.95,CN,1726434028
253,barranca,-10.75,-77.7667,17.82,75,14,5.28,PE,1726434030
254,neftcala,39.3742,49.2472,21.82,49,13,3.3,AZ,1726434031
255,rangapara,26.8167,92.65,25.09,90,100,0.76,IN,1726434032
256,punta del este,-34.9667,-54.95,20.06,85,0,4.12,UY,1726434033
257,ballina,-28.8667,153.5667,11.72,74,70,5.76,AU,1726434034
258,kayenta,36.7278,-110.2546,26.89,17,0,8.41,US,1726434037
259,fengxiang,47.5833,130.8333,10.34,77,100,2.27,CN,1726434040
260,bengkulu,-3.8004,102.2655,24.55,87,52,1.04,ID,1726434041
261,greymouth,-42.4667,171.2,9.43,73,100,1.37,NZ,1726434042
262,honaz,37.7573,29.27,18.39,54,5,1.31,TR,1726434043
